name,description,ca,country,keys,broad
deprexis,Software for patients with depression,Hamburg DE,DE,deprexis,GAIA
HelloBetter Stress und Burnout,Software for patients with stress and burnout,Hamburg DE,DE,HelloBetter Stress und Burnout|HelloBetter Stress|HelloBetter,GET.ON
MindDoc,Software for patients with psychological diseases,Bavaria DE,DE,MindDoc|Mind Doc,MindDoc Health
velibra,Software for patients with anxiety disorder,Hamburg DE,DE,velibra,GAIA
vorvida,Software for patients with alcohol addiction,Hamburg DE,DE,vorvida,GAIA
elevida,Software for patients with multiple sclerosis fatigue,Hamburg DE,DE,elevida,GAIA
optimune,Software for patients with breast cancer,Hamburg DE,DE,optimune,GAIA
